;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
64645;DIASPORA;1659;FIDUCIAIRE J INEICHEN;ENT;G;01.01.2015;;;;;;;;;;;
64700;HONEYWELL PRODUCTS & SOLUTIONS;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
64718;FINVEST CONSEILS;16673;BERNEY & ASSOCIES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
64720;MY IHOME;58928;FIDEO;ENT;G;27.11.2012;31.12.2014;;;;;;;;;;
64720;MY IHOME;56989;FIDIMMOB;ENT;G;01.01.2015;;;;;;;;;;;
64831;TREBOUX FRERES;18064;;ETA;G;05.12.2012;31.12.2014;;;;;;;;;;
64832;ADSTOCK;69969;ATGE;ENT;G;01.01.2015;;;;;;;;;;;
64833;A&PI;21898;RC FIDUCIAIRE RICHARD CASTRO;ETA;G;01.01.2015;;;;;;;;;;;
64885;ECO SOLUTIONS CONSULTING;4713;FIDOFFICE;ENT;G;01.01.2015;;;;;;;;;;;
64897;PARCELLE7;56634;FJF FAVRE JURIDIQUE FISCAL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
64897;PARCELLE7;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
64900;NID GROUP;14790;MAZARS LAUSANNE;ETA;G;13.12.2013;31.12.2014;;;;;;;;;;
64907;PARTNERLINE;70044;FIDUCIAIRE LEMANIQUE;ENT;G;01.01.2015;;;;;;;;;;;
64957;SEVE VITICOLE BOVARD LOUIS;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
64962;MICRO BEAM HOLDING;16195;BRUNNER & ASSOCIES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
65015;PARFX HOLDING;6765;PRICEWATERHOUSECOOPERS;ETA;G;07.01.2013;31.12.2014;;;;;;;;;;
65047;ALIMENTATION ALAIN FISCHER;69930;MAILLARD IMOSERVICES;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
65047;ALIMENTATION ALAIN FISCHER;73820;CM GESTION PME;ENT;G;01.01.2015;;;;;;;;;;;
65118;FLUUNT;1101;MY FIDUCIAIRE;ENT;G;20.12.2012;31.12.2014;;;;021 320'72'53;;;;;;
65118;FLUUNT;1089033;Flavia Cioffoletti;IND;G;01.01.2015;;;;;;;;;;;
65144;BCS BUREAU CONSTRUCTION;44331;CABINET BEGUIN EXPERTISE CBEF;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
65196;EOLE7;56634;FJF FAVRE JURIDIQUE FISCAL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
65196;EOLE7;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
65199;HSK ENTREPRISE;15189;EMK CONSULTING MANAGEMENT;ETA;G;19.01.2013;31.12.2014;;;;;;;;;;
65248;NIBEDA;1110;MCD CONSEIL;ENT;G;01.01.2013;;;;;;;;;;;
65441;TOP SANTE SUISSE;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;01.01.2015;;général;;;022 364'76'00;;;;;;
65468;KAEF;41953;FIDUCIAIRE PAUX;ENT;G;01.01.2013;31.12.2014;;;;021 803'73'11;;;;;;
65554;BATEGRAL CONSTRUCTION;17463;FIDUGO;ETA;G;22.02.2013;31.12.2014;;;;;;;;;;
65565;SWORD SUISSE HOLDING;22560;CV CONSULTING;ETA;G;28.02.2013;31.12.2014;;;;;;;;;;
65565;SWORD SUISSE HOLDING;21500;FIDUCIAIRE MULLER CHRISTE;ETA;G;01.01.2015;;;;;;;;;;;
65616;ENZONET;17481;BDO EPALINGES;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
65677;WYLESS APPS;2093;OFICO FIDUCIAIRE;ENT;G;20.03.2013;31.12.2014;;;;;;;;;;
65683;PERFECT JARDIN CONCIERGERIE;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;12.03.2013;31.12.2014;;;;;;;;;;
65704;PAPILLES FETE;39027;ACYGEST;ENT;G;01.01.2015;;;;;;;;;;;
65799;COACH SOI CONSEILS;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
65827;ALIZEE;2083;FIDUROLLE;ENT;G;01.01.2015;;;;;;;;;;;
65886;KRANOM HOLDING;16358;ECOFISC;ETA;G;01.01.2015;;;;;;;;;;;
65895;DMT ENTREPRISE GENERALE;17386;FIDUSTAVIA FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
65953;CLINILAC;2637;Losmaz;ETA;G;01.01.2015;;;;;;;;;;;
65956;PRO BEAUTY SERVICES;38408;E GESTION;ENT;G;01.01.2015;;;;;;;;;;;
65958;BROCHEXPRESS SWISS;41296;COMPTACT FIDUCIAIRE;ENT;G;25.04.2013;31.12.2014;;;;026 341'00'00;;;;;;
65992;FONCIERE HERA;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
66013;VELTIGROUP CONSULTING;38834;SWISSCOM SCHWEIZ;ENT;G;01.01.2014;31.12.2015;;;;;;;;;;
66070;ASSOCIATION SWISS LIFE INARTIS;32958;LATHION BERNEY & ASSOCIES;ENT;G;01.01.2013;31.12.2014;;;;027 322'75'40;;;;;;
66105;MEYLAN FINANCE;58017;ILEX FIDUCIAIRE;ENT;G;01.05.2013;31.12.2015;;;;021 349'10'00;;;;;;
66169;M2I MARCEAU INVEST & IMMO;9147;FIDUCIAIRE FIDAG CRANS MONTANA;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
66174;SCCH DOMUS YVERDON;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
66175;SCCH DOMUS LAUSANNE;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
66279;SICO FOOD TRADING;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
66305;ROC TRAVAUX SPECIAUX;14790;MAZARS LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
66320;ASCCAT CONSULTING;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;01.01.2015;;;;;;;;;;;
66345;PROTOS CONSULTING;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;021 651'33'00;;;;;;
66397;COOBER;40792;RAIS FIDUCIAIRE & ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
66419;SCHMIDT PIANOS;56989;FIDIMMOB;ENT;G;01.01.2015;;;;;;;;;;;
66481;MS INVEST IMMO;73046;CONSEILS CH GESTION PATRIMOINE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
66505;CCSD HOLDING;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
66544;AIR M;13261;INFOCOM LUIS BERRIO;ETA;G;12.07.2013;31.12.2014;;;;;;;;;;
66546;LIO & TRUONG;3731;STE CONTROLE FIDUCIAIRE;ETA;G;12.07.2013;31.12.2014;;;;;;;;;;
66604;PORT FRANC MARTIGNY;20163;FIDUCIAIRE FIDAG;ENT;G;01.01.2015;;;;;;;;;;;
66648;RODIN MED;61211;WEALTHINGS;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
66651;SOPEOPLE;11797;FIDUCIAIRE FIDAZED;ENT;G;10.07.2013;31.12.2014;;;;;;;;;;
66659;SPICY;53252;BHC BRILLIANT HORIZON;ENT;G;15.07.2013;31.12.2014;;;;;;;;;;
66678;ISOTECH CONSTRUCTIONS;23195;NAFRA CONSEILS;ETA;G;18.07.2013;;;;;;;;;;;
66718;QUESTER EVENT;2048;ALR FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
66728;HORUS HOLDING;14790;MAZARS LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
66731;RUMINE ASSET MANAGEMENT;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;16.07.2013;31.12.2015;;;;021 323'67'83;;;;;;
66731;RUMINE ASSET MANAGEMENT;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
66758;GA TRANSPORTS & CONSTRUCTIONS;71350;FID EXPRESS;ENT;G;01.01.2015;;;;;;;;;;;
66779;THEOSA;1101;MY FIDUCIAIRE;ENT;G;06.08.2013;31.12.2014;;;;;;;;;;
66797;PANEMAX;39027;ACYGEST;ENT;G;09.08.2013;31.12.2014;;;;021 903'52'52;;;;;;
66799;DELICESAR;39505;FIDUCIAIRE MIEVILLE;ENT;G;01.01.2015;;;;;;;;;;;
66815;CLAUDE RENARD AGENCE DE MODE;18108;REVIDOR;ENT;G;19.08.2013;31.12.2014;;;;;;;;;;
66853;LAJONQUE;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
66868;JAVEGA;681807;Alessia De Allegri;IND;G;26.08.2013;;;;;;;;;;;
66925;GLORY NETTOYAGES;32965;NOFIVAL VAUD;ENT;G;01.01.2015;;;;;;;;;;;
66940;MIX 2;15189;EMK CONSULTING MANAGEMENT;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
66940;MIX 2;73820;CM GESTION PME;ENT;G;01.01.2015;;;;;;;;;;;
66978;NET FIBRE;31590;FIDUCIAIRE FIDINTER;ENT;G;01.09.2013;31.12.2014;;;;;;;;;;
67023;TOTAL CONCEPT;52834;COGESTOR;ENT;G;01.01.2015;;;;;;;;;;;
67045;SPAD CONSULTING;69618;GTS GENEVA TRUST SERVICES;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
67046;RISKOG CONSULTING;69618;GTS GENEVA TRUST SERVICES;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
67051;HYSQIA COSMETICS;2091;FICOGERE FIDUCIAIRE CONSEILS;ENT;G;01.01.2013;31.12.2014;;;;021 903'07'07;;;;;;
67098;LEOPOLDA;12281;FIDEXAUDIT;ENT;G;01.01.2015;;;;;;;;;;;
67177;AEGERION PHARMACEUTICALS;14790;MAZARS LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
67191;SWISS HEALTH ALLIANCE;70283;XENIA CONSULTING;ENT;G;12.10.2013;31.12.2014;;;;;;;;;;
67212;CABINET MEDICAL CAMENA;25054;MOULIN CHARLY FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
67215;TMC GLOBAL INVEST;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
67220;HENCHOZ MACONNERIE;522;FIREL BERNEY;ENT;G;01.01.2015;;;;;;;;;;;
67230;GRILLO & FILS;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
67262;DOCTEUR MAINGUY BAAC;32318;MONRIBOT JD CABINET FISCAL;ENT;G;01.07.2013;31.12.2014;;;;;;;;;;
67286;GANTEC;44551;FIGEXA;ENT;G;01.01.2015;;;;;;;;;;;
67302;ABAQ IMMOBILIER;49845;C & S COMPTABILITE & SERVICES;ENT;G;01.01.2015;;;;;022 960'08'68;;;;;;
67374;CHAPPY HILLS;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;29.10.2013;01.04.2016;;;PP;022 365'59'59;;;;;;
67393;LINBOX;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;07.11.2013;31.12.2014;;;;021 651'33'00;;;;;;
67393;LINBOX;59874;CFD CABINET FIDUCIAIRE DAYER;ENT;G;01.01.2015;;;;;;;;;;;
67397;LUMRISK;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
67474;CARROSSERIE J PARISI;22365;AZ GESTION ALIYAH TAYFUR;ETA;G;30.06.2013;31.12.2014;;;;;;;;;;
67474;CARROSSERIE J PARISI;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
67508;MAURIZIO & FEIM DECORATION;51010;FIDUCIAIRE MONACHON;ENT;G;01.01.2015;;;;;;;;;;;
67515;SEMATECH SANITAIRE;16830;FIDUCIAIRE VILLAGE MOTTET;ETA;G;01.01.2015;;;;;;;;;;;
67550;YAMA COACHING & PILATES;59874;CFD CABINET FIDUCIAIRE DAYER;ENT;G;03.12.2013;31.12.2014;;;;;;;;;;
67552;KALLISTEA;14031;GILLES FOURNIER CONSEILLER;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
67610;2I ENGINEERING;62234;JEAN CHRISTOPHE GROSS;ENT;G;01.01.2014;12.10.2014;;;;;;;;;;
67668;VIEIL OUCHY;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
67682;CAFE RESTAURANT GRILL CRISTAL;44717;FIDUCIAIRE MEICHTRY;ENT;G;01.01.2015;;;;;;;;;;;
67709;TOF RACING;716825;Dominique Monod;IND;G;01.01.2015;;;;;;;;;;;
67721;ONCOMMIT;2093;OFICO FIDUCIAIRE;ENT;G;03.12.2013;31.12.2014;;;;021 641'60'60;;;;;;
67722;MAYA;2906;FIDUCIAIRE GERANCE RIDOUX;ENT;G;01.01.2014;31.12.2014;;;;026 660'18'38;;;;;;
67768;MECANIQUE PONT NEUF;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
67769;NANOYA;16788;LP COMPTA CONSEIL PILLONEL;ETA;G;01.01.2015;;;;;;;;;;;
67785;WINKLER BENOIT CONSULTANCY;14797;MC BUREAU MARJORIE CERVASI;ETA;G;01.01.2015;;;;;;;;;;;
67862;AW;51575;FIDACOR;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
67876;KATEXA HOLDING;62820;ALTERIS FINANCE;ENT;G;14.01.2014;;;;;;;;;;;
67882;BEMORE SOLUTIONS;14841;MULLER CHRISTE ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
67886;TURQUOISE HOLDING;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
67887;VON ARKEL;62820;ALTERIS FINANCE;ENT;G;15.01.2014;;;;;;;;;;;
67955;JOLIBAR;60233;OFFICE CONSULTANT RIVIERA;ENT;G;01.01.2015;;;;;;;;;;;
68063;TCC TRAINING COMMUNICATION;69618;GTS GENEVA TRUST SERVICES;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
68098;PSTC;22152;BL CONSEIL B LAZREG;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
68103;PRIME REAL ESTATE;2160;FIDUCIAIRE CM FIDATEL;ENT;G;28.01.2014;;;;;;;;;;;
68106;AUDIO VIDEO CONCEPT;58843;COSFINA;ENT;G;01.01.2015;;;;;;;;;;;
68116;INTERENOV;37879;FIDUCIAIRE PROCOMPTEX;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
68116;INTERENOV;46706;SOLVENS;ENT;G;01.01.2015;;;;;;;;;;;
68123;PROACTIF RESSOURCES HUMAINES;25067;REALISATOR;ENT;G;11.02.2014;31.12.2014;;;;;;;;;;
68144;A FEW BARRELS COMPANY;46716;MCL SERVICES;ENT;G;13.02.2014;;;;;;;;;;;
68153;CMFM CENTRE MEDICAL DU FORUM;64470;MCM FIDUCIAIRE RIVIERA;ENT;G;13.02.2014;31.12.2014;;;;;;;;;;
68203;LPALMIERI&2LSEELBACH;24412;FIDUCIA PARTNER;ETA;G;01.01.2015;;;;;;;;;;;
68262;TELE CLINIQUE LAUSANNE;44717;FIDUCIAIRE MEICHTRY;ENT;G;01.01.2015;;général;;;021 964'10'66;;;;;;
68273;LEMAN BIO ENERGIE;7652;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
68303;LANTA BIO;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
68334;RADIOLOGIE COTE;2048;ALR FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
68352;VISION REAL ESTATE;12281;FIDEXAUDIT;ENT;G;07.03.2014;;;;;;;;;;;
68413;DUCREST METZGER ARCHITECTES;1323;;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
68462;E BERGER;50210;INTEREXPERTS;ENT;G;20.03.2014;;;;;;;;;;;
68463;MATIAS ENTREPRISE;56989;FIDIMMOB;ENT;G;01.01.2015;;;;;;;;;;;
68491;FO GROUP;51575;FIDACOR;ENT;G;24.03.2014;;;;;;;;;;;
68507;CM MENUISERIE;14185;ATLAS PARTNERS;ENT;G;28.03.2014;;;;;;;;;;;
68538;SWEETMED;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;31.03.2014;31.12.2014;;;;;;;;;;
68543;IMMO2014;2093;OFICO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
68560;ETHICAL FOODS;49198;LEMAN CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
68567;MIXAGE DEGUISEMENTS;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
68575;ALL IN OME LEMAN;51950;FCF CONSULTING;ENT;G;20.03.2014;31.12.2014;;;;;;;;;;
68581;IPRODEA;31461;PELLEGRINI & FURRER;ENT;G;17.03.2014;;;;;;;;;;;
68607;ALEXA B;46105;ALTAFID;ENT;G;01.01.2015;;;;;;;;;;;
68617;CHRISTIAN GUINCHARD;9091;FIDUCIAIRE WUARIN & CHATTON;ENT;G;01.01.2015;;;;;;;;;;;
68750;LOCKSTYLER;45787;FIDUREV;ENT;G;16.04.2014;31.12.2014;;;;021 886'31'20;;;;;;
68751;MESSI ASSOCIES;27297;BMT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
68754;NOVA HEALTH;1108;FIDUCIAIRE INTERMANDAT;ENT;G;16.04.2014;;;;;;;;;;;
68755;PRODICTIS;58017;ILEX FIDUCIAIRE;ENT;G;23.04.2014;;;;;;;;;;;
68791;PRO CLEAN ECO;15446;AT SOLUTION JUAN TORRES;ETA;G;01.01.2015;;;;;;;;;;;
68801;DISCOVERY HOTEL;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;14.04.2014;31.12.2014;;;;021 805'41'21;;;;;;
68801;DISCOVERY HOTEL;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
68806;SWISS BUILDING SERVICES;11797;FIDUCIAIRE FIDAZED;ENT;G;24.04.2014;;;;;;;;;;;
68862;ARNAUD GROUP IMMO;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
68891;PROCONSEILS IMMOBILIER;1270;F+I GESTION LANTHEMANN PIERRE;ETA;G;09.05.2014;;;;;;;;;;;
68906;JUSTIN;61703;PARADISIO;ENT;G;01.07.2014;31.12.2014;;;;;;;;;;
68933;JACK WOOD;52946;FIDAC CONSEILS;ENT;G;14.05.2014;;;;;;;;;;;
68939;MEDISTREAM;3662;AMETIS CONSEILS;ENT;G;15.05.2014;31.12.2014;;;;021 613'50'60;;;;;;
68939;MEDISTREAM;61427;GARRETT & PAZ;ENT;G;01.01.2015;;;;;;;;;;;
68952;NICOD INGENIEURS CIVILS;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;17.05.2014;31.12.2015;;;;;;;;;;
68952;NICOD INGENIEURS CIVILS;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
68970;CELLESTIA BIOTECH;22970;VINCENT RIHS FIDUSCOR;ETA;G;20.05.2014;31.12.2014;;;;;;;;;;
69074;IMMOFAME;2235;FIDEXPERT LAUSANNE;ENT;G;30.05.2014;;;;;;;;;;;
69087;LAVOTECH;38481;COMPTA FISC SYNERGIE;ENT;G;01.06.2014;;;;;;;;;;;
69109;INTER DECO;58843;COSFINA;ENT;G;01.01.2015;;;;;021 861'22'54;;;;;;
69117;AURORA ENERGIE;73017;CIS COMPTABILITE IMPOTS;ENT;G;01.01.2015;;;;;;;;;;;
69128;4AMLABS;26798;CFG CABINET COMPTABLE & FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
69137;ARISKIA;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;06.06.2014;;;;;;;;;;;
69156;SCANWEL COMMODITIES;7652;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
69174;IMMOBILIER PART;37158;BAKER & NORTON FIDUCIAIRE;ENT;G;13.06.2014;;;;;;;;;;;
69197;ALPADIA;21406;FIDUTRUST GESTION & CONSEILS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
69223;AEROCAD;8;FIDUCIAIRE SOFIDOR;ENT;G;01.01.2015;;;;;;;;;;;
69256;HAUSWIRTH IMPRIMEURS;2093;OFICO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
69270;VONROLL HYDRO SUISSE;39776;B&P TAX & LEGAL;ENT;G;01.01.2014;30.06.2014;;;;;;;;;;
69399;CPH PARTICIPATIONS;1960;FIDINTER;ENT;G;01.01.2015;;général;Gérald;Balimann;021 614'61'61;;;;;;
69408;GUIDO TONI PEINTURE;23901;FIDUCIAIRE FIDAG;ETA;G;01.01.2015;;;;;;;;;;;
69414;ENTREPRISE GENERALE PAQUIS;51575;FIDACOR;ENT;G;01.01.2015;;;;;;;;;;;
69428;SWISS STRIVING ANGEL;60652;VFM CONSEIL;ENT;G;10.07.2014;;;;;;;;;;;
69429;UNIS CORPORATION;4360;ATSCO;ENT;G;11.07.2014;;;;;;;;;;;
69494;MEDIGROUP;31632;GFC CONSULT;ENT;G;01.01.2015;;;;;;;;;;;
69496;FERME PRALIES;44551;FIGEXA;ENT;G;16.07.2014;;;;;;;;;;;
69514;ALVASHOP;27297;BMT FIDUCIAIRE;ENT;G;04.06.2014;;;;;;;;;;;
69519;ACCESS PHYSIO;35989;FIDUCIAIRE CONTAGEST;ENT;G;18.07.2014;;;;;;;;;;;
69529;FRANL CONSULTING;30221;SWMH FIDUCIAIRE CONSEILS;ENT;G;22.07.2014;;;;;;;;;;;
69530;FLAVENTINO;2083;FIDUROLLE;ENT;G;01.07.2015;;;;;;;;;;;
69534;SVPERBE CREATIVE VISIONARIES;31632;GFC CONSULT;ENT;G;21.07.2014;;;;;;;;;;;
69540;OPTIMUS PLACEMENT;25067;REALISATOR;ENT;G;23.07.2014;;;;;;;;;;;
69573;ECOBOIS LIEU;60652;VFM CONSEIL;ENT;G;01.01.2015;;;;;;;;;;;
69591;RESSOURCE SERVICE SOLAIRE;49984;MAXECO;ENT;G;01.01.2015;;;;;;;;;;;
69592;CBDS TEAM;17452;PROFIDUCIA CONSEILS;ETA;G;30.07.2014;;;;;;;;;;;
69612;GARDERIE NATIONAL;1323;;ETA;G;05.08.2014;;;;;;;;;;;
69670;SWISS ARCHITECTES;65068;NAFRA CONSEILS GIGON;ENT;G;15.08.2014;31.12.2014;;;;;;;;;;
69692;STAMM EVENTS HOLDING;63;AFIDUGERE;ENT;G;19.08.2014;;;;;;;;;;;
69698;EFFET PAPILLON;3731;STE CONTROLE FIDUCIAIRE;ETA;G;21.08.2014;;;;;;;;;;;
69701;NEXVAP;3662;AMETIS CONSEILS;ENT;G;23.08.2014;;;;;;;;;;;
69702;FG REALISATIONS;65524;FIDUCIAIRE LONGCHAMP;ENT;G;25.08.2014;;;;;;;;;;;
69730;IB PLATRERIE PEINTURE;4676;FIDUCIAIRE TECHNIKOR;ENT;G;28.08.2014;;;;;;;;;;;
69732;WHITEOUT PUBLISHING;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;29.08.2014;;;;;;;;;;;
69738;PINT PHARMA INTERNATIONAL;3662;AMETIS CONSEILS;ENT;G;26.08.2014;;;;;;;;;;;
69743;SIEMSIE;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;021 349'10'00;;;;;;
69776;DUGICO;24347;FFJ FIDUCIAIRE FORMALITES;ETA;G;25.02.2014;31.12.2014;;;;;;;;;;
69882;GUIDO;2083;FIDUROLLE;ENT;G;04.09.2014;;;;;;;;;;;
69891;GIACONELLI;12665;EGC GESTION & CONSEILS;ETA;G;09.09.2014;;;;;;;;;;;
69910;SARL PORT EDEN;57361;ROLAND SAVARY IMMOBILIER;ENT;G;24.07.2014;;;;;;;;;;;
69912;ARTHUR ARTHUR;23;HERVEST FIDUCIAIRE;ENT;G;18.09.2014;;;;;;;;;;;
69935;BLONAYS PUB;36657;FIDEXPERT FRIBOURG;ENT;G;15.09.2014;;;;;;;;;;;
69945;PECOFIX;1270;F+I GESTION LANTHEMANN PIERRE;ETA;G;09.09.2014;;;;;;;;;;;
69949;AGENCE LOUIS;39027;ACYGEST;ENT;G;17.09.2014;;;;;;;;;;;
69957;SOGIVA ENGINEERING;36108;GUEDON FRANCOIS FIDUCIAIRE;ENT;G;14.09.2014;;;;;;;;;;;
69975;SHNYON;31590;FIDUCIAIRE FIDINTER;ENT;G;26.09.2014;;;;;;;;;;;
69979;NETOCAI;56465;FIROUBA;ENT;G;27.09.2014;;;;;;;;;;;
69981;CLEAN TOP NETTOYAGES;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.07.2014;;;;;;;;;;;
69993;MANOMADE;2235;FIDEXPERT LAUSANNE;ENT;G;30.09.2014;;;;;;;;;;;
69998;HMA TRANSPORTS & DEMENAGEMENTS;51950;FCF CONSULTING;ENT;G;01.01.2015;;;;;;;;;;;
70015;APERITIVO SAINT PREX;583;FIDUCIAIRE AVONDO;ENT;G;01.09.2014;;;;;;;;;;;
70033;4SWISSR;3848;MULTIFIDUCIAIRE LEMAN;ETA;G;08.10.2014;;;;;;;;;;;
70036;HABITATION DOMUS PRILLY;2068;FIDUGERE PARTENAIRES;ENT;G;19.04.2014;;;;;;;;;;;
70037;WAYRAY;13;FIDUCONSULT LAUSANNE;ENT;G;18.09.2014;;;;;;;;;;;
70041;SOGIVASWISS;36108;GUEDON FRANCOIS FIDUCIAIRE;ENT;G;14.09.2014;;;;;;;;;;;
70050;LANDOLT HOLDING;1821;OFISA;ENT;G;30.09.2014;;;;;;;;;;;
70056;RENOV TRANS;8494;ACTUA FIDUCIAIRE;ENT;G;01.10.2014;;;;;;;;;;;
70061;GB FINANCE;49198;LEMAN CABINET FISCAL;ENT;G;07.10.2014;;;;;;;;;;;
70067;SOLDREST;6019;SERFISA SERVICES FIDUCIAIRES;ENT;G;08.10.2014;;;;;;;;;;;
70089;EDELMARK;67248;FIDUCIAIRE GENERALE SFG;ENT;G;13.10.2014;;;;;;;;;;;
70108;CUISINES RIVIERA;21898;RC FIDUCIAIRE RICHARD CASTRO;ETA;G;15.10.2014;;;;;;;;;;;
70109;MOBIFORM;63264;CVALUE;ENT;G;01.01.2015;;;;;;;;;;;
70112;LE CAFE LITTERAIRE;70044;FIDUCIAIRE LEMANIQUE;ENT;G;16.10.2014;;;;;;;;;;;
70128;OTTEN LIFE SCIENCES CONSULTING;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;18.10.2014;;;;;;;;;;;
70143;CODETICKLER;13;FIDUCONSULT LAUSANNE;ENT;G;18.10.2014;;;;;;;;;;;
70160;ID2A;51575;FIDACOR;ENT;G;16.10.2014;;;;;;;;;;;
70176;GENE7A;16714;MARC ETIENNE HEFTI BUREAU FID;ETA;G;24.10.2014;;;;;;;;;;;
70179;CLEMENT DI SESSA;46664;FIDUSWISS SOCIETE FIDUCIAIRE;ENT;G;01.01.2015;;général;Ansermoz;Etienne;024 466'60'16;;;;;;
